 | 1    | Electabuzz         | 35.73488% | 23793  | 35.735% | 19622  | 36.345% | 
 | 2    | Rapidash           | 15.64837% | 10419  | 15.648% | 8224   | 15.233% | 
 | 3    | Fraxure            | 14.92596% | 9938   | 14.926% | 7044   | 13.047% | 
 | 4    | Arbok              | 14.82983% | 9874   | 14.830% | 7936   | 14.700% | 
 | 5    | Gogoat             | 13.22129% | 8803   | 13.221% | 6908   | 12.796% | 
 | 6    | Metang             | 13.18374% | 8778   | 13.184% | 7760   | 14.374% | 
 | 7    | Ursaring           | 11.83503% | 7880   | 11.835% | 6218   | 11.517% | 
 | 8    | Frogadier          | 11.60073% | 7724   | 11.601% | 5900   | 10.928% | 
 | 9    | Prinplup           | 11.51813% | 7669   | 11.518% | 6659   | 12.334% | 
 | 10   | Ninjask            | 11.16218% | 7432   | 11.162% | 6491   | 12.023% | 
 | 11   | Articuno           | 10.92337% | 7273   | 10.923% | 5889   | 10.908% | 
 | 12   | Gabite             | 10.64552% | 7088   | 10.646% | 5924   | 10.973% | 
 | 13   | Krokorok           | 10.37067% | 6905   | 10.371% | 5724   | 10.602% | 
 | 14   | Wartortle          |  9.19618% | 6123   |  9.196% | 5108   |  9.461% | 
 | 15   | Kingler            |  9.14061% | 6086   |  9.141% | 4624   |  8.565% | 
 | 16   | Clefairy           |  8.61494% | 5736   |  8.615% | 4627   |  8.570% | 
 | 17   | Murkrow            |  8.40017% | 5593   |  8.400% | 4460   |  8.261% | 
 | 18   | Sawsbuck           |  8.38515% | 5583   |  8.385% | 4363   |  8.081% | 
 | 19   | Persian            |  7.66724% | 5105   |  7.667% | 4448   |  8.239% | 
 | 20   | Simisear           |  7.64621% | 5091   |  7.646% | 3892   |  7.209% | 
 | 21   | Monferno           |  7.49602% | 4991   |  7.496% | 4245   |  7.863% | 
 | 22   | Rampardos          |  7.43594% | 4951   |  7.436% | 3738   |  6.924% | 
 | 23   | Machoke            |  7.40440% | 4930   |  7.404% | 4049   |  7.500% | 
 | 24   | Meowstic           |  7.33231% | 4882   |  7.332% | 3962   |  7.339% | 
 | 25   | Linoone            |  7.02442% | 4677   |  7.024% | 3604   |  6.676% | 
 | 26   | Simipour           |  6.59337% | 4390   |  6.593% | 3290   |  6.094% | 
 | 27   | Swoobat            |  6.44018% | 4288   |  6.440% | 3220   |  5.964% | 
 | 28   | Lapras             |  6.34105% | 4222   |  6.341% | 3372   |  6.246% | 
 | 29   | Lairon             |  5.58259% | 3717   |  5.583% | 3256   |  6.031% | 
 | 30   | Pikachu            |  5.51951% | 3675   |  5.520% | 2934   |  5.435% | 
 | 31   | Seviper            |  5.29422% | 3525   |  5.294% | 2856   |  5.290% | 
