 | 1    | Steelix            | 18.34362% | 34949  | 18.344% | 29562  | 19.571% | 
 | 2    | Feraligatr         | 18.07961% | 34446  | 18.080% | 25764  | 17.056% | 
 | 3    | Typhlosion         | 15.62270% | 29765  | 15.623% | 22205  | 14.700% | 
 | 4    | Audino             | 12.56430% | 23938  | 12.564% | 17496  | 11.583% | 
 | 5    | Mismagius          | 12.13338% | 23117  | 12.133% | 17664  | 11.694% | 
 | 6    | Malamar            | 12.00269% | 22868  | 12.003% | 18251  | 12.083% | 
 | 7    | Electivire         | 11.81846% | 22517  | 11.818% | 16813  | 11.131% | 
 | 8    | Weezing            | 11.49304% | 21897  | 11.493% | 18331  | 12.136% | 
 | 9    | Hariyama           | 10.70941% | 20404  | 10.709% | 16817  | 11.133% | 
 | 10   | Archeops           | 10.65220% | 20295  | 10.652% | 17236  | 11.411% | 
 | 11   | Camerupt           | 10.56560% | 20130  | 10.566% | 16342  | 10.819% | 
 | 12   | Pyroar             | 10.55353% | 20107  | 10.554% | 15271  | 10.110% | 
 | 13   | Magmortar          |  9.57045% | 18234  |  9.570% | 13815  |  9.146% | 
 | 14   | Gurdurr            |  9.49329% | 18087  |  9.493% | 14334  |  9.489% | 
 | 15   | Uxie               |  9.41824% | 17944  |  9.418% | 15541  | 10.288% | 
 | 16   | Lanturn            |  9.26288% | 17648  |  9.263% | 14172  |  9.382% | 
 | 17   | Xatu               |  9.02406% | 17193  |  9.024% | 14099  |  9.334% | 
 | 18   | Accelgor           |  8.93378% | 17021  |  8.934% | 13601  |  9.004% | 
 | 19   | Vileplume          |  8.55378% | 16297  |  8.554% | 13170  |  8.719% | 
 | 20   | Seismitoad         |  8.39212% | 15989  |  8.392% | 13945  |  9.232% | 
 | 21   | Swellow            |  8.22521% | 15671  |  8.225% | 11875  |  7.861% | 
 | 22   | Zangoose           |  8.09767% | 15428  |  8.098% | 11486  |  7.604% | 
 | 23   | Cradily            |  8.09347% | 15420  |  8.093% | 12433  |  8.231% | 
 | 24   | Cacturne           |  7.90137% | 15054  |  7.901% | 11737  |  7.770% | 
 | 25   | Sawk               |  7.49722% | 14284  |  7.497% | 10773  |  7.132% | 
 | 26   | Miltank            |  7.48830% | 14267  |  7.488% | 11179  |  7.401% | 
 | 27   | Ludicolo           |  7.40589% | 14110  |  7.406% | 11503  |  7.615% | 
 | 28   | Serperior          |  7.33713% | 13979  |  7.337% | 11133  |  7.370% | 
 | 29   | Liepard            |  7.23583% | 13786  |  7.236% | 11547  |  7.644% | 
 | 30   | Sandslash          |  7.15868% | 13639  |  7.159% | 11443  |  7.576% | 
 | 31   | Golurk             |  7.09045% | 13509  |  7.090% | 10880  |  7.203% | 
 | 32   | Lilligant          |  7.02799% | 13390  |  7.028% | 9727   |  6.439% | 
 | 33   | Mesprit            |  7.00804% | 13352  |  7.008% | 10835  |  7.173% | 
 | 34   | Muk                |  6.80124% | 12958  |  6.801% | 10258  |  6.791% | 
 | 35   | Granbull           |  6.61124% | 12596  |  6.611% | 9677   |  6.406% | 
 | 36   | Cryogonal          |  6.53408% | 12449  |  6.534% | 9241   |  6.118% | 
 | 37   | Kabutops           |  6.39290% | 12180  |  6.393% | 9360   |  6.197% | 
 | 38   | Vivillon           |  6.34618% | 12091  |  6.346% | 9163   |  6.066% | 
 | 39   | Rotom-Fan          |  5.85386% | 11153  |  5.854% | 9218   |  6.103% | 
 | 40   | Exeggutor          |  5.75938% | 10973  |  5.759% | 8416   |  5.572% | 
 | 41   | Primeape           |  5.69272% | 10846  |  5.693% | 8512   |  5.635% | 
