 | 1    | Avalugg            | 11.07781% | 6136   | 11.078% | 4779   | 10.838% | 
 | 2    | Raichu             | 10.86478% | 6018   | 10.865% | 4832   | 10.958% | 
 | 3    | Poliwrath          | 10.81242% | 5989   | 10.812% | 4853   | 11.006% | 
 | 4    | Ninetales          |  9.81946% | 5439   |  9.819% | 4267   |  9.677% | 
 | 5    | Scyther            |  9.71836% | 5383   |  9.718% | 4265   |  9.672% | 
 | 6    | Kecleon            |  9.13522% | 5060   |  9.135% | 4256   |  9.652% | 
 | 7    | Chatot             |  9.08106% | 5030   |  9.081% | 3806   |  8.631% | 
 | 8    | Tauros             |  8.90955% | 4935   |  8.910% | 3613   |  8.194% | 
 | 9    | Dusknoir           |  8.83011% | 4891   |  8.830% | 4092   |  9.280% | 
 | 10   | Barbaracle         |  8.79040% | 4869   |  8.790% | 3797   |  8.611% | 
 | 11   | Throh              |  8.53403% | 4727   |  8.534% | 3899   |  8.842% | 
 | 12   | Golem              |  8.38057% | 4642   |  8.381% | 4072   |  9.235% | 
 | 13   | Flareon            |  7.69634% | 4263   |  7.696% | 3366   |  7.634% | 
 | 14   | Haunter            |  7.49955% | 4154   |  7.500% | 3169   |  7.187% | 
 | 15   | Marowak            |  7.25221% | 4017   |  7.252% | 3189   |  7.232% | 
 | 16   | Bouffalant         |  7.21791% | 3998   |  7.218% | 3088   |  7.003% | 
 | 17   | Bastiodon          |  6.98682% | 3870   |  6.987% | 3463   |  7.854% | 
 | 18   | Electrode          |  6.98321% | 3868   |  6.983% | 3185   |  7.223% | 
 | 19   | Leafeon            |  6.93627% | 3842   |  6.936% | 3099   |  7.028% | 
 | 20   | Gourgeist-Super    |  6.76837% | 3749   |  6.768% | 3139   |  7.119% | 
 | 21   | Rapidash           |  6.51742% | 3610   |  6.517% | 2832   |  6.423% | 
 | 22   | Arbok              |  6.46687% | 3582   |  6.467% | 2800   |  6.350% | 
 | 23   | Basculin           |  6.44160% | 3568   |  6.442% | 2652   |  6.014% | 
 | 24   | Lickilicky         |  6.42896% | 3561   |  6.429% | 2877   |  6.525% | 
 | 25   | Meowstic           |  6.24842% | 3461   |  6.248% | 2799   |  6.348% | 
 | 26   | Mr. Mime           |  6.15635% | 3410   |  6.156% | 2524   |  5.724% | 
 | 27   | Carracosta         |  5.84221% | 3236   |  5.842% | 2640   |  5.987% | 
 | 28   | Pelipper           |  5.82416% | 3226   |  5.824% | 2635   |  5.976% | 
 | 29   | Luxray             |  5.77902% | 3201   |  5.779% | 2579   |  5.849% | 
 | 30   | Sneasel            |  5.66167% | 3136   |  5.662% | 2462   |  5.583% | 
 | 31   | Rotom-Frost        |  5.62556% | 3116   |  5.626% | 2640   |  5.987% | 
 | 32   | Torterra           |  5.61834% | 3112   |  5.618% | 2612   |  5.924% | 
 | 33   | Ariados            |  5.60029% | 3102   |  5.600% | 2730   |  6.191% | 
