 | 1    | Pidgeot            | 23.70914% | 21820  | 23.709% | 17152  | 23.326% | 
 | 2    | Dragalge           | 17.37765% | 15993  | 17.378% | 12423  | 16.895% | 
 | 3    | Sceptile           | 17.13752% | 15772  | 17.138% | 11830  | 16.088% | 
 | 4    | Ambipom            | 15.86839% | 14604  | 15.868% | 12553  | 17.071% | 
 | 5    | Cobalion           | 13.96036% | 12848  | 13.960% | 11129  | 15.135% | 
 | 6    | Jolteon            | 13.68111% | 12591  | 13.681% | 9852   | 13.398% | 
 | 7    | Hitmonlee          | 13.25300% | 12197  | 13.253% | 9266   | 12.601% | 
 | 8    | Clawitzer          | 11.90238% | 10954  | 11.902% | 8550   | 11.627% | 
 | 9    | Cresselia          | 11.79916% | 10859  | 11.799% | 8545   | 11.621% | 
 | 10   | Amoonguss          | 11.34062% | 10437  | 11.341% | 8348   | 11.353% | 
 | 11   | Slowking           | 11.02008% | 10142  | 11.020% | 8135   | 11.063% | 
 | 12   | Doublade           | 10.62239% | 9776   | 10.622% | 8054   | 10.953% | 
 | 13   | Bronzong           | 10.58219% | 9739   | 10.582% | 8780   | 11.940% | 
 | 14   | Alomomola          | 10.57350% | 9731   | 10.573% | 7768   | 10.564% | 
 | 15   | Eelektross         | 10.32576% | 9503   | 10.326% | 7889   | 10.729% | 
 | 16   | Drapion            | 10.28121% | 9462   | 10.281% | 7863   | 10.693% | 
 | 17   | Cinccino           |  9.81941% | 9037   |  9.819% | 6847   |  9.312% | 
 | 18   | Delphox            |  9.71945% | 8945   |  9.719% | 7058   |  9.598% | 
 | 19   | Rhyperior          |  9.59014% | 8826   |  9.590% | 7431   | 10.106% | 
 | 20   | Gligar             |  9.32828% | 8585   |  9.328% | 7267   |  9.883% | 
 | 21   | Pangoro            |  9.11531% | 8389   |  9.115% | 6540   |  8.894% | 
 | 22   | Exploud            |  8.99144% | 8275   |  8.991% | 6367   |  8.659% | 
 | 23   | Hitmontop          |  8.35796% | 7692   |  8.358% | 6186   |  8.413% | 
 | 24   | Slurpuff           |  8.17759% | 7526   |  8.178% | 5278   |  7.178% | 
 | 25   | Cofagrigus         |  7.73318% | 7117   |  7.733% | 6003   |  8.164% | 
 | 26   | Braviary           |  7.72666% | 7111   |  7.727% | 5431   |  7.386% | 
 | 27   | Jellicent          |  7.70493% | 7091   |  7.705% | 5753   |  7.824% | 
 | 28   | Whimsicott         |  7.64299% | 7034   |  7.643% | 5753   |  7.824% | 
 | 29   | Escavalier         |  7.61040% | 7004   |  7.610% | 5896   |  8.018% | 
 | 30   | Registeel          |  7.54955% | 6948   |  7.550% | 6073   |  8.259% | 
 | 31   | Meloetta           |  7.46588% | 6871   |  7.466% | 5278   |  7.178% | 
 | 32   | Aromatisse         |  7.18120% | 6609   |  7.181% | 5087   |  6.918% | 
 | 33   | Tyrantrum          |  7.13447% | 6566   |  7.134% | 4871   |  6.624% | 
 | 34   | Banette            |  6.91716% | 6366   |  6.917% | 5151   |  7.005% | 
 | 35   | Golbat             |  6.77047% | 6231   |  6.770% | 5086   |  6.917% | 
 | 36   | Moltres            |  6.75852% | 6220   |  6.759% | 5064   |  6.887% | 
 | 37   | Dugtrio            |  6.37604% | 5868   |  6.376% | 4647   |  6.320% | 
 | 38   | Durant             |  6.35757% | 5851   |  6.358% | 4535   |  6.167% | 
 | 39   | Druddigon          |  6.27282% | 5773   |  6.273% | 4847   |  6.592% | 
 | 40   | Glalie             |  6.16633% | 5675   |  6.166% | 4293   |  5.838% | 
 | 41   | Emboar             |  6.10331% | 5617   |  6.103% | 4418   |  6.008% | 
 | 42   | Gastrodon          |  6.08919% | 5604   |  6.089% | 4550   |  6.188% | 
 | 43   | Tangrowth          |  5.87622% | 5408   |  5.876% | 4277   |  5.816% | 
 | 44   | Claydol            |  5.69693% | 5243   |  5.697% | 4402   |  5.986% | 
 | 45   | Reuniclus          |  5.46332% | 5028   |  5.463% | 3937   |  5.354% | 
 | 46   | Houndoom           |  5.32641% | 4902   |  5.326% | 3860   |  5.249% | 
 | 47   | Serperior          |  5.29707% | 4875   |  5.297% | 3802   |  5.170% | 
 | 48   | Hitmonchan         |  5.11344% | 4706   |  5.113% | 3692   |  5.021% | 
 | 49   | Heliolisk          |  4.98414% | 4587   |  4.984% | 3603   |  4.900% | 
 | 50   | Spiritomb          |  4.91025% | 4519   |  4.910% | 3812   |  5.184% | 
 | 51   | Abomasnow          |  4.68315% | 4310   |  4.683% | 3400   |  4.624% | 
 | 52   | Magneton           |  4.67446% | 4302   |  4.674% | 3539   |  4.813% | 
 | 53   | Omastar            |  4.49083% | 4133   |  4.491% | 3494   |  4.752% | 
 | 54   | Rotom-Mow          |  4.38978% | 4040   |  4.390% | 3364   |  4.575% | 
