,X,Y,Z,represx,represy,represz,repres,cat
bulbasaur,-6.944222145066101,-3.0872235979547407,2.1492003930275736,0.013931017653367959,0.0027534158121179,0.0013344105114075917,0.01801884397689345,FU
ivysaur,-6.701203850960415,-3.424174662674638,2.0401620518668464,0.013581728592950192,0.0035461835227657713,0.0012588637248484547,0.018386775840564418,FU
venusaur,-2.4980635882217648,-2.262627487073484,-0.23924592550278095,0.001480766642862707,0.0012148027370730697,1.3582156949716468e-05,0.002709151536885493,OU
charmander,13.034207273992404,-4.467383822054966,-6.918891538310708,0.034421786578668574,0.004043623351254089,0.00969922885575003,0.048164638785672696,FU
charmeleon,11.720431094233158,-4.830029031141797,-7.514708705203918,0.027832913682339193,0.0047268408821142865,0.011441838197260006,0.04400159276171349,FU
charizard,18.455201783168082,-2.622308453053419,-18.796495308945033,0.05580973162394272,0.001126781967038469,0.057893005898293645,0.11482951948927483,OU
squirtle,7.080659106500423,-0.7917084179710074,12.813990130757196,0.008736186593255344,0.000109220724891562,0.02861167607602001,0.037457083394166917,FU
wartortle,6.406890422709763,-1.1082979728556492,12.453471988387776,0.007047079063812115,0.00021087623021623158,0.026625357507587617,0.03388331280161597,FU
blastoise,13.896716532499951,1.795318076690882,11.366201080993518,0.027071369030221084,0.0004518233059750103,0.01810991831308753,0.045633110649283624,UU
caterpie,-9.986975636836396,-9.037998197596886,1.9510001067973124,0.10427927018275986,0.08540327064374528,0.00397964734119567,0.1936621881677008,FU
metapod,-9.184366273876355,-8.935412277518783,2.827473736145982,0.1839169279144122,0.1740814537556636,0.017430926548632333,0.3754293082187081,FU
butterfree,-8.722523345873753,1.2642807382770762,-10.946942513383082,0.020947271387000158,0.00044007857032801067,0.032993535296040426,0.054380885253368594,FU
weedle,-9.986975636836396,-9.037998197596886,1.9510001067973124,0.10427927018275986,0.08540327064374528,0.00397964734119567,0.1936621881677008,FU
kakuna,-9.184366273876355,-8.935412277518783,2.827473736145982,0.1839169279144122,0.1740814537556636,0.017430926548632333,0.3754293082187081,FU
beedrill,0.23927198840858654,-6.733448259718454,-8.096647498805694,1.2877595201800688e-05,0.010198260623696625,0.01474556832142573,0.024956706540324156,UU
pidgey,-9.627354726053433,-8.701463403041624,3.1240132556091345,0.3182585740720426,0.2599864779236674,0.03351134822313523,0.6117564002188454,FU
pidgeotto,-6.100544345364332,-6.4545665670695485,-19.00305488741312,0.01002180390300669,0.011218709232294387,0.09724237769683701,0.11848289083213809,FU
pidgeot,-3.2299901725335007,-4.204798439537991,-20.533397706196357,0.0020930229965035805,0.0035470063247264433,0.08458497710219817,0.09022500642342819,RU
rattata,1.2416505334547034,0.742654611805869,0.2893978014178319,0.0007607609273554875,0.0002721593160590636,4.1327572371876274e-05,0.0010742478157864275,FU
raticate,3.3555595357746437,1.0533368908310585,-1.5125301774955446,0.005250831077495636,0.0005174075230349728,0.0010668570864168754,0.006835095686947484,FU
spearow,-9.594163644524484,-8.685490397837341,2.9248910354527577,0.29159325018051346,0.23897469282842312,0.02710083087052722,0.5576687738794638,FU
fearow,-2.796111931445424,-4.816674915126201,-18.269271942898236,0.0022777367838770625,0.006759103585153252,0.09723819998544782,0.10627504035447813,FU
ekans,-5.781504480962589,-8.052063020402159,3.120256205767516,0.01746884129157103,0.03388415787732073,0.005088184811659035,0.05644118398055079,FU
arbok,6.128996806450169,-5.686738716392116,-1.23555981605069,0.009254185323929083,0.007966837362206547,0.0003760858147906911,0.01759710850092632,FU
pikachu,1.6510702416291698,7.053897013599402,4.578237856558704,0.0002725141173776546,0.00497411858856145,0.002095340512645772,0.007341973218584876,FU
raichu,2.572101500982544,6.131969808877722,3.65072001228386,0.0011614094793004324,0.006600991545685149,0.0023397325327191246,0.010102133557704705,PU
sandshrew,3.0464935052966267,-7.308443645252751,4.04295461638492,0.0028133641668480307,0.016191058556420425,0.004954766252944915,0.02395918897621337,FU
sandslash,12.939278160838263,-7.506228234158918,2.7934975184862822,0.03045401367844564,0.01024868089295174,0.001419453009519252,0.04212214758091663,NU
nidoran-f,-9.47584549068965,-8.573652318506007,2.9968317596872245,0.19076781508997026,0.1561711829859796,0.019080681819203152,0.366019679895153,UU
nidorina,-1.555438827929649,-5.803237653441665,1.8550012060807268,0.0008937928168785905,0.012441470107359145,0.0012712160891201684,0.014606479013357904,FU
nidoqueen,21.08923641143962,-0.0067443364202803835,5.481360060404425,0.0733048907112961,7.497037637880641e-09,0.00495208285055061,0.07825698105888436,UU
nidoran-m,-9.77201891823298,-8.899399612927976,3.6625634431771212,0.20576615431389192,0.17065804244183624,0.028905178478386223,0.4053293752341144,NU
nidorino,-0.15138964846581437,-5.3193504817300745,2.575951574817715,7.43685407261009e-06,0.009181509985524687,0.0021531400918810774,0.011342086931478375,FU
nidoking,22.343231104648805,1.2054956490880437,6.625294854034699,0.07592673817696005,0.00022102127617100486,0.006675952065437416,0.08282371151856847,UU
clefairy,0.6486121290992894,27.163552971892916,11.789560090052802,5.8716481357538876e-05,0.10298240741102407,0.019399256766053828,0.12244038065843543,FU
clefable,3.4516132165571642,31.999563127848244,11.458900805286579,0.0013002850821955117,0.11175898062688089,0.014331123987638262,0.12739038969671465,OU
vulpix,-8.053343655029442,-4.289474925545643,-2.0138516974053653,0.03854898401665532,0.010936257809418393,0.002410546111365304,0.051895787937439014,FU
ninetales,-2.104639357614575,4.189900159095401,-7.794719337986992,0.0003358699030044477,0.0013311379411788768,0.004606983726898786,0.006273991571082111,PU
jigglypuff,3.2068508701705225,14.693806953599438,9.629244966130496,0.003785040603910105,0.07946605875033483,0.034126950679287345,0.11737805003353227,FU
wigglytuff,4.025747397675172,16.042879159307383,9.101604322888269,0.005049702460867415,0.08019316830384153,0.02581122700027397,0.11105409776498291,FU
zubat,-5.241016327500312,-2.6771361320041622,-13.905339910343255,0.0071942561476391765,0.0018771361885041,0.050642844395767266,0.05971423673191054,FU
golbat,-3.2859050390119107,-1.1853909984616982,-17.500134671075948,0.0025255042665034855,0.0003286709648673041,0.07163427524719682,0.0744884504785676,RU
oddish,-10.401367338747109,-8.565694466408626,2.908258472388713,0.16146343208572736,0.10950109687219604,0.01262290503301779,0.28358743399094116,FU
gloom,-9.396180159427633,-2.2157609160718437,1.9950451488151755,0.030177753011211547,0.0016781470910119975,0.0013604722450251926,0.03321637234724874,FU
vileplume,-7.707626176235106,0.33950670561207197,1.1974571120273274,0.013075642642731413,2.5369883315433022e-05,0.00031560341384624804,0.013416615939893095,NU
paras,-10.332273777824232,-9.07699581161959,3.2110516741834285,0.026410121329259167,0.020382753665504644,0.002550781008668397,0.049343656003432206,FU
parasect,-0.7876017049670914,-4.230606568507854,-1.5831625670307496,0.0001214263032720758,0.0035035212578949128,0.0004906259371026733,0.004115573498269662,FU
venonat,-9.627354726053433,-8.701463403041624,3.1240132556091345,0.3182585740720426,0.2599864779236674,0.03351134822313523,0.6117564002188454,FU
venomoth,-8.105040169603784,1.2351233038245066,-13.655836006605861,0.0078900258561639,0.00018322668108782723,0.022397764221543395,0.03047101675879512,OU
diglett,3.473998456517105,-7.0841328704738835,-1.2579595656235392,0.002348002188510075,0.009763660089736732,0.00030787371969540783,0.012419535997942214,FU
dugtrio,5.279720139899725,-6.380936832714872,-2.7274266718798184,0.0039721572231036836,0.005801943771141075,0.00106001202298224,0.010834113017226999,RU
meowth,-3.483089982745615,-3.8681330464917663,-1.1552010741738123,0.005365017485989369,0.0066167474734153695,0.0005901425397884382,0.012571907499193177,FU
persian,1.9540543082433812,2.5554569432819765,-2.9895883017772205,0.0009163801747593289,0.001567254629709474,0.0021449896275884286,0.004628624432057232,FU
psyduck,-2.296353863535683,1.3823087258957507,6.906146597290884,0.0021083322420511657,0.0007639615898077911,0.01906922357318959,0.021941517405048547,FU
golduck,5.130510474678095,9.413940586791469,8.914996376581307,0.007298797208870499,0.024573841127175915,0.022038015391799094,0.05391065372784551,FU
mankey,1.5039594741382007,-7.8525721534865935,4.814892926940047,0.0004664558811477693,0.01271634132786996,0.004780921060000179,0.01796371826901791,FU
primeape,17.32930081043279,-1.5849864736291357,5.664561152453805,0.03873869031953537,0.00032406637680076233,0.004139190287205944,0.04320194698354207,NU
growlithe,-0.10570545242194651,-7.350744974132973,-4.996121975578503,2.507577449259165e-06,0.012126131907550705,0.0056017747583446,0.017730414243344563,FU
arcanine,8.808148338898468,-5.0934842511833605,-10.886009470083478,0.011946267236728685,0.003994780497207226,0.018247375163365703,0.03418842289730162,UU
poliwag,-9.372249631943468,-7.599513479477776,5.1326534186497135,0.05771322386154531,0.03794540729504629,0.017308981696501646,0.11296761285309324,PU
poliwhirl,0.44772672536190417,-1.3905953628592984,9.206344326719767,9.102939821021602e-05,0.0008781267111164629,0.0384884181318654,0.039457574241192075,FU
poliwrath,9.260451952109708,1.1098610000560556,12.954734860966862,0.018613256176032506,0.000267359223180677,0.03642629890022991,0.055306914299443094,PU
abra,-5.286671223630677,18.71187165277221,5.585931733807405,0.007971137586680865,0.09985967769751233,0.008899117639455868,0.11672993292364905,FU
kadabra,-5.557959996694378,24.326933126441055,7.617307013401717,0.004797916918181714,0.0919171632485423,0.00901207526743245,0.10572715543415645,PU
alakazam,-3.8581895625672114,28.205182390201657,6.300263848476863,0.002260600333123008,0.1208132280514129,0.006028012426229941,0.12910184081076584,UU
machop,1.3891697491525328,-6.661373322184146,8.772477488833564,0.0004573199731202247,0.010515673208443679,0.01823702776357731,0.02921002094514121,FU
machoke,14.19200813180942,-0.9275811981446864,13.195408280154552,0.034474067966768066,0.00014726810716270998,0.029802348948672737,0.06442368502260351,FU
machamp,16.779581253480593,0.17150909716787233,11.634612734551311,0.04399568917966907,4.596446502487551e-06,0.021152015321418565,0.06515230094759013,UU
bellsprout,-8.102455105283589,-4.030805234244968,2.214925420523989,0.035881288711955804,0.008880110986927032,0.0026813467553605435,0.04744274645424338,FU
weepinbell,-7.97903951326697,-4.454441147130785,1.582417012982815,0.027101259364879466,0.008446459259980143,0.0010659335407705475,0.03661365216563015,FU
victreebel,-5.577550503284358,-1.660681493402521,0.23192474270765234,0.009538458641472815,0.0008455978498673926,1.649245641757399e-05,0.010400548947757781,FU
tentacool,-4.658618312108584,-2.2196484389165585,8.126029336147337,0.0034428003256649015,0.0007815665500958723,0.010475007633786558,0.014699374509547333,FU
tentacruel,-2.507244632154764,-0.24532526755230855,6.9090451677592,0.0008651998617938766,8.28337996683497e-06,0.006569904924723937,0.0074433881664846486,UU
geodude,8.534580333675866,-4.920574277753801,7.826966762509107,0.02354714950674035,0.007827184734247601,0.019804367609007344,0.0511787018499953,FU
