 | 1    | Beedrill           | 16.34381% | 88183  | 16.344% | 67864  | 15.664% | 
 | 2    | Crobat             | 14.24780% | 76874  | 14.248% | 62942  | 14.528% | 
 | 3    | Jirachi            | 13.77407% | 74318  | 13.774% | 60943  | 14.067% | 
 | 4    | Hydreigon          | 12.67649% | 68396  | 12.676% | 53738  | 12.404% | 
 | 5    | Arcanine           | 12.27560% | 66233  | 12.276% | 54363  | 12.548% | 
 | 6    | Donphan            | 12.10787% | 65328  | 12.108% | 56732  | 13.095% | 
 | 7    | Florges            | 11.91141% | 64268  | 11.911% | 50222  | 11.592% | 
 | 8    | Darmanitan         | 11.42674% | 61653  | 11.427% | 48918  | 11.291% | 
 | 9    | Blastoise          | 11.02660% | 59494  | 11.027% | 49681  | 11.467% | 
 | 10   | Infernape          | 11.01233% | 59417  | 11.012% | 48205  | 11.126% | 
 | 11   | Swampert           | 10.64813% | 57452  | 10.648% | 49488  | 11.423% | 
 | 12   | Forretress         | 10.48318% | 56562  | 10.483% | 50619  | 11.684% | 
 | 13   | Chandelure         | 10.44630% | 56363  | 10.446% | 44011  | 10.158% | 
 | 14   | Galvantula         | 10.35715% | 55882  | 10.357% | 49799  | 11.494% | 
 | 15   | Raikou             |  9.68937% | 52279  |  9.689% | 40800  |  9.417% | 
 | 16   | Aggron             |  9.17746% | 49517  |  9.177% | 41315  |  9.536% | 
 | 17   | Mienshao           |  8.84552% | 47726  |  8.846% | 39028  |  9.008% | 
 | 18   | Umbreon            |  8.75952% | 47262  |  8.760% | 37378  |  8.627% | 
 | 19   | Alakazam           |  8.74766% | 47198  |  8.748% | 34637  |  7.995% | 
 | 20   | Empoleon           |  8.48114% | 45760  |  8.481% | 39432  |  9.101% | 
 | 21   | Chesnaught         |  7.70327% | 41563  |  7.703% | 33722  |  7.784% | 
 | 22   | Krookodile         |  7.70105% | 41551  |  7.701% | 33867  |  7.817% | 
 | 23   | Rotom-Heat         |  7.48253% | 40372  |  7.483% | 34752  |  8.021% | 
 | 24   | Aerodactyl         |  7.44713% | 40181  |  7.447% | 31970  |  7.379% | 
 | 25   | Cloyster           |  7.43620% | 40122  |  7.436% | 31200  |  7.201% | 
 | 26   | Goodra             |  7.39116% | 39879  |  7.391% | 31315  |  7.228% | 
 | 27   | Roserade           |  7.37948% | 39816  |  7.379% | 31476  |  7.265% | 
 | 28   | Nidoking           |  7.36410% | 39733  |  7.364% | 30420  |  7.021% | 
 | 29   | Machamp            |  7.31795% | 39484  |  7.318% | 32069  |  7.402% | 
 | 30   | Milotic            |  7.24418% | 39086  |  7.244% | 31815  |  7.343% | 
 | 31   | Espeon             |  7.06125% | 38099  |  7.061% | 29872  |  6.895% | 
 | 32   | Honchkrow          |  7.03976% | 37983  |  7.040% | 28601  |  6.602% | 
 | 33   | Absol              |  7.01622% | 37856  |  7.016% | 28832  |  6.655% | 
 | 34   | Suicune            |  6.94616% | 37478  |  6.946% | 30678  |  7.081% | 
 | 35   | Scrafty            |  6.84459% | 36930  |  6.845% | 29129  |  6.723% | 
 | 36   | Blissey            |  6.81179% | 36753  |  6.812% | 28491  |  6.576% | 
